9.30,-2.94,-4.16,-5.00,11.00,0.00,8.34,1.51,-1.65,-12.00,-5.00,0.00
8.83,-3.50,-4.23,-5.00,4.00,1.00,9.17,0.45,-2.95,40.00,3.00,12.00
8.48,-3.18,-4.58,-7.00,0.00,-3.00,9.95,1.03,-2.68,-23.00,-12.00,5.00
8.55,-3.61,-4.71,0.00,-7.00,-6.00,9.28,1.24,-1.93,-16.00,-12.00,-6.00
9.73,-2.90,-5.10,13.00,-11.00,-3.00,8.89,0.69,-2.03,-4.00,0.00,-2.00
9.25,-2.87,-4.91,22.00,-13.00,-8.00,9.59,0.94,-2.52,-2.00,7.00,0.00
8.54,-2.50,-5.77,-5.00,-13.00,-7.00,9.61,-0.59,-4.54,-28.00,10.00,-1.00
8.96,-2.14,-4.73,3.00,-21.00,-9.00,9.28,1.77,-2.22,0.00,-2.00,-3.00
7.87,-2.57,-4.49,-9.00,3.00,-13.00,10.10,0.34,-2.65,1.00,-2.00,-1.00
8.27,-2.65,-4.50,11.00,1.00,-12.00,9.94,1.78,-2.18,-17.00,-3.00,-1.00
9.21,-3.54,-4.71,17.00,11.00,-7.00,10.02,0.88,-2.24,-4.00,-1.00,0.00
8.07,-3.14,-5.18,16.00,23.00,0.00,9.84,1.43,-2.33,4.00,6.00,2.00
8.63,-2.83,-5.58,2.00,16.00,7.00,9.87,0.97,-2.25,-23.00,-2.00,1.00
8.94,-2.97,-5.17,2.00,2.00,7.00,9.62,1.43,-2.05,-13.00,2.00,3.00
9.18,-3.00,-4.92,-17.00,3.00,7.00,10.07,1.33,-2.21,1.00,-2.00,0.00
9.37,-3.08,-4.50,-14.00,-4.00,4.00,9.68,0.96,-2.11,-1.00,0.00,1.00
8.94,-3.43,-3.97,-21.00,-2.00,6.00,9.86,1.25,-2.26,-3.00,0.00,2.00
9.00,-2.98,-4.05,-32.00,5.00,8.00,9.67,1.25,-2.27,-3.00,0.00,1.00
8.79,-3.43,-4.15,-10.00,-3.00,7.00,9.91,1.19,-2.12,0.00,-1.00,0.00
8.85,-3.47,-3.79,-21.00,0.00,17.00,9.83,0.80,-2.31,-3.00,-2.00,0.00
8.66,-2.53,-3.84,-27.00,7.00,20.00,9.92,1.09,-1.96,1.00,-1.00,0.00
9.68,-1.81,-4.23,39.00,10.00,-5.00,9.70,0.93,-2.32,-2.00,0.00,0.00
9.01,-3.25,-5.76,20.00,-7.00,-6.00,9.89,1.13,-2.34,0.00,-2.00,-1.00
8.66,-3.36,-3.71,-27.00,-6.00,-2.00,9.71,0.93,-2.28,1.00,-1.00,-1.00
8.60,-3.50,-5.29,-12.00,10.00,-7.00,9.81,0.93,-2.24,0.00,-1.00,-1.00
8.91,-3.28,-4.23,-2.00,7.00,-5.00,9.72,0.86,-2.37,-1.00,0.00,-1.00
8.98,-3.16,-4.39,0.00,7.00,2.00,9.81,0.96,-2.42,0.00,0.00,0.00
9.10,-2.76,-4.77,8.00,0.00,2.00,9.75,0.88,-2.34,0.00,-1.00,-1.00
8.91,-2.86,-4.42,-10.00,3.00,1.00,9.77,0.97,-2.34,-1.00,-1.00,-2.00
9.19,-2.75,-4.26,-14.00,-1.00,2.00,9.75,0.82,-2.24,0.00,-1.00,-2.00
9.03,-2.84,-4.04,-4.00,-4.00,4.00,9.80,0.88,-2.36,-3.00,0.00,0.00
9.05,-3.07,-4.35,-3.00,-2.00,3.00,9.76,1.11,-2.29,-3.00,-1.00,0.00
9.00,-3.15,-4.56,-8.00,-1.00,2.00,9.81,1.04,-2.30,-2.00,-1.00,0.00
9.01,-2.67,-4.21,1.00,0.00,1.00,9.88,1.06,-2.35,-4.00,-1.00,0.00
