8.86,-3.50,-3.50,17.00,12.00,4.00,-2.74,-15.96,6.90,2.00,4.00,43.00
8.99,-4.88,-3.08,-18.00,11.00,0.00,8.95,-7.18,1.54,80.00,98.00,131.00
8.67,-4.32,-3.14,-32.00,1.00,8.00,28.73,3.11,-7.48,131.00,131.00,131.00
9.17,-3.31,-2.37,-5.00,-16.00,5.00,25.13,15.08,-0.95,-131.00,-53.00,131.00
8.55,-4.11,-3.13,28.00,8.00,-3.00,8.93,15.73,2.93,-51.00,0.00,96.00
8.93,-4.04,-3.80,1.00,-2.00,3.00,10.35,7.70,-1.46,43.00,-6.00,37.00
10.11,-3.48,-3.08,-14.00,-22.00,18.00,9.00,5.57,-1.60,-3.00,-3.00,11.00
8.42,-3.58,-3.17,23.00,0.00,-12.00,8.73,0.86,-6.12,-56.00,-43.00,6.00
8.77,-4.49,-2.99,6.00,13.00,-20.00,9.37,4.59,-1.67,-83.00,-29.00,0.00
8.42,-4.71,-3.82,-15.00,22.00,-13.00,9.38,4.05,-1.65,0.00,-9.00,-4.00
11.99,-10.16,-7.95,-60.00,50.00,25.00,7.84,3.11,-4.72,-28.00,0.00,17.00
22.13,-8.35,-7.02,106.00,-131.00,107.00,9.38,4.61,-2.71,12.00,5.00,2.00
4.86,-16.63,3.05,87.00,-131.00,131.00,8.69,3.32,-2.93,-46.00,-9.00,-5.00
9.06,2.66,-0.30,0.00,28.00,131.00,8.13,2.34,-3.50,-93.00,-23.00,-15.00
1.11,8.13,1.87,131.00,-78.00,63.00,14.32,19.61,-9.42,-118.00,-42.00,-36.00
8.47,9.64,9.71,41.00,-125.00,-131.00,17.54,30.28,13.14,-84.00,39.00,-131.00
15.74,-23.88,7.37,131.00,131.00,-131.00,15.31,2.16,2.17,-51.00,44.00,-131.00
-11.35,-35.26,1.94,35.00,62.00,131.00,4.27,-5.10,-0.90,-129.00,11.00,-131.00
2.66,0.13,-3.80,-20.00,16.00,131.00,1.51,-12.98,-1.89,-131.00,-60.00,-44.00
3.84,13.33,4.76,-36.00,-38.00,69.00,12.49,-8.06,13.38,-131.00,-120.00,131.00
3.18,9.76,1.77,-13.00,18.00,-131.00,13.56,39.24,-10.21,-54.00,50.00,131.00
11.83,-13.37,-17.74,-131.00,131.00,-131.00,1.43,15.56,2.64,63.00,14.00,-131.00
18.10,-25.69,-13.32,61.00,-131.00,-131.00,3.26,-4.66,2.01,28.00,31.00,-131.00
29.75,-16.95,-3.05,6.00,-131.00,-131.00,-2.00,-19.88,4.50,-131.00,8.00,-12.00
15.62,-13.41,0.57,-62.00,-82.00,-9.00,9.25,-10.50,5.11,-19.00,1.00,131.00
9.18,-4.82,0.57,-18.00,-14.00,-32.00,32.15,11.16,-6.33,-38.00,120.00,131.00
6.39,-4.98,2.45,30.00,-14.00,-47.00,17.25,15.11,-5.16,-37.00,-54.00,131.00
8.61,-7.53,1.40,61.00,35.00,-21.00,10.36,12.06,4.11,-62.00,-36.00,131.00
12.14,-4.57,-4.77,49.00,96.00,-5.00,12.59,6.38,0.22,113.00,40.00,115.00
11.43,-6.21,-7.91,77.00,49.00,-40.00,11.74,5.40,-1.74,-127.00,21.00,11.00
9.80,-7.11,-7.38,-20.00,27.00,-17.00,9.71,1.99,-1.50,-64.00,-48.00,-16.00
8.58,-5.94,-4.69,-45.00,-7.00,12.00,10.18,1.08,-1.66,-66.00,-17.00,5.00
9.32,-7.47,-4.79,2.00,-33.00,22.00,8.99,3.56,-1.65,-61.00,-3.00,-1.00
18.40,-24.83,-3.41,131.00,-126.00,131.00,9.18,1.39,-1.69,-76.00,-2.00,3.00
20.37,-18.47,8.81,89.00,104.00,131.00,9.65,6.13,-2.24,-17.00,-5.00,0.00
10.99,-6.43,-0.49,131.00,98.00,131.00,9.47,2.70,-1.65,11.00,-1.00,-1.00
1.27,2.42,-4.88,131.00,6.00,102.00,9.49,3.49,-1.71,7.00,0.00,-7.00
1.77,5.33,-0.22,90.00,-114.00,-3.00,13.34,2.03,-9.77,88.00,17.00,-25.00
9.68,3.71,11.34,36.00,49.00,-131.00,23.10,13.69,-12.74,-22.00,-131.00,-78.00
-9.47,-39.24,2.81,131.00,-117.00,-68.00,18.69,10.19,3.09,-131.00,-122.00,-131.00
-4.52,-14.35,0.44,-16.00,54.00,131.00,10.07,-5.26,2.11,-86.00,-48.00,-131.00
3.46,5.82,-0.60,-2.00,16.00,131.00,2.49,-9.87,0.66,-94.00,-14.00,-131.00
2.38,12.89,2.93,-21.00,-24.00,-1.00,7.45,-23.55,11.91,-131.00,-51.00,131.00
9.61,7.28,3.65,-17.00,92.00,-131.00,13.24,32.66,-2.52,31.00,85.00,131.00
18.28,-6.36,-15.18,0.00,-83.00,-131.00,-5.05,30.66,-0.82,-12.00,22.00,-131.00
14.30,-15.96,-7.28,-75.00,-107.00,-131.00,-0.17,-3.04,2.71,0.00,59.00,-131.00
20.68,-23.19,-5.27,-26.00,1.00,-131.00,-2.06,-16.70,1.61,-57.00,5.00,-28.00
12.50,-8.38,-1.08,-41.00,-3.00,-30.00,9.27,-16.79,2.98,-20.00,-22.00,131.00
7.47,-6.85,-0.79,31.00,-6.00,-44.00,20.78,12.31,-0.19,131.00,131.00,131.00
7.05,-7.87,0.98,78.00,-22.00,-14.00,11.79,18.68,-6.46,-49.00,-16.00,69.00
8.87,-3.40,-2.46,68.00,29.00,34.00,7.54,7.10,-0.72,-7.00,-19.00,117.00
13.07,-1.18,-5.94,37.00,32.00,5.00,12.53,6.39,-0.56,16.00,32.00,114.00
9.78,-3.32,-6.14,9.00,39.00,-3.00,13.21,2.97,-5.27,-78.00,45.00,54.00
9.21,-4.98,-4.29,3.00,0.00,-14.00,10.36,4.04,-1.40,-45.00,-25.00,-15.00
8.35,-6.44,-4.35,-16.00,2.00,9.00,9.02,1.97,-0.69,-71.00,-6.00,-24.00
12.40,-18.96,-9.07,131.00,-125.00,122.00,10.14,5.21,-0.76,-28.00,-14.00,-6.00
17.78,-25.51,5.18,62.00,61.00,131.00,9.15,1.57,-0.36,-31.00,-2.00,-6.00
