timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1540278382,turnclap,turnclap,6.613855362,TRUE,5.12,0.28,1.42,0.11
1540278388,number7,number7,6.102960825,TRUE,5.12,0.28,1.41,0.11
1540278394,number7,number7,6.163774014,TRUE,5.11,0.28,1.42,0.12
1540278398,wipers,wipers,4.591320038,TRUE,5.11,0.29,1.47,0.13
1540278403,sidestep,sidestep,4.604867458,TRUE,5.11,0.28,1.41,0.14
1540278408,wipers,wipers,4.664495468,TRUE,5.11,0.28,1.42,0.14
1540278414,turnclap,turnclap,6.193757057,TRUE,5.12,0.28,1.43,0.15
1540278447,chicken,chicken,33.53116465,TRUE,5.13,0.26,1.35,0.2
1540278452,wipers,wipers,4.569200039,TRUE,5.13,0.27,1.38,0.21
1540278457,sidestep,sidestep,4.599598646,TRUE,5.13,0.27,1.37,0.21
1540278461,wipers,wipers,4.59855032,TRUE,5.12,0.26,1.36,0.22
1540278467,turnclap,turnclap,6.203227282,TRUE,5.13,0.27,1.38,0.23
1540278472,sidestep,sidestep,4.589551449,TRUE,5.13,0.27,1.37,0.24
1540278492,chicken,chicken,19.74523091,TRUE,5.13,0.27,1.37,0.26
1540278498,number7,number7,6.149082422,TRUE,5.13,0.27,1.38,0.27
1540278506,chicken,chicken,7.601702929,TRUE,5.13,0.27,1.38,0.28
1540278512,number7,number7,6.13972497,TRUE,5.13,0.27,1.39,0.29
1540278516,sidestep,sidestep,4.573601961,TRUE,5.13,0.27,1.38,0.3
1540278532,chicken,chicken,15.28813982,TRUE,5.13,0.27,1.38,0.32
1540278538,turnclap,turnclap,6.151408195,TRUE,5.13,0.27,1.37,0.33
1540278663,wipers,wipers,4.989557028,TRUE,6.19,0.27,1.69,0.11
1540278668,sidestep,sidestep,4.523457527,TRUE,5.69,0.28,1.58,0.12
1540278692,chicken,chicken,24.20336604,TRUE,5.42,0.28,1.51,0.16
1540278698,sidestep,sidestep,6.146501064,TRUE,5.44,0.28,1.51,0.17
1540278704,turnclap,turnclap,6.081402063,TRUE,5.64,0.27,1.55,0.18
1540278710,number7,number7,6.181148052,TRUE,6.67,0.27,1.81,0.19
1540278722,chicken,chicken,12.12362409,TRUE,5.51,0.27,1.51,0.21
1540278727,number7,number7,4.612256765,TRUE,5.6,0.27,1.54,0.22
1540278736,turnclap,turnclap,9.230739117,TRUE,5.51,0.27,1.51,0.23
1540278741,number7,number7,4.63361454,TRUE,5.82,0.27,1.6,0.24
1540278745,sidestep,sidestep,4.569143534,TRUE,5.23,0.27,1.44,0.25
1540278759,chicken,chicken,13.77710104,TRUE,5.24,0.28,1.48,0.27
1540278765,turnclap,turnclap,6.157479048,TRUE,5.97,0.27,1.62,0.28
1540278770,wipers,wipers,4.611383438,TRUE,5.73,0.27,1.55,0.29
1540278775,wipers,wipers,4.59483552,TRUE,5.93,0.27,1.6,0.3
1540278779,number7,number7,4.615938902,TRUE,6.32,0.27,1.72,0.3
1540278784,wipers,wipers,4.626299381,TRUE,6.23,0.27,1.68,0.31
1540278790,turnclap,turnclap,6.17465353,TRUE,6.02,0.27,1.63,0.32
1540278795,sidestep,sidestep,4.588156223,TRUE,6.02,0.27,1.61,0.33
1540279297.6056657,sidestep,sidestep,3.9631459712982178,True,5.01,0.25,1.25,0.09
1540279302.1874852,turnclap,turnclap,4.532277584075928,True,5.01,0.25,1.26,0.1
1540279308.3208592,number7,number7,6.1303935050964355,True,5.01,0.25,1.24,0.11
1540279312.916196,sidestep,sidestep,4.591416358947754,True,5.01,0.25,1.24,0.11
1540279317.5234282,turnclap,turnclap,4.601250648498535,True,5.01,0.25,1.24,0.12
1540279322.14638,number7,number7,4.610987424850464,True,5.01,0.25,1.24,0.13
1540279326.7410955,wipers,wipers,4.5887322425842285,True,5.01,0.25,1.25,0.13
1540279331.3450358,wipers,wipers,4.593966960906982,True,5.01,0.25,1.24,0.14
1540279340.4837945,chicken,chicken,9.132776975631714,True,5.01,0.25,1.24,0.15
1540279345.0910652,turnclap,turnclap,4.604320764541626,True,5.01,0.25,1.25,0.16
1540279349.6919467,number7,number7,4.592909812927246,True,5.01,0.25,1.25,0.16
1540279357.2383227,chicken,chicken,7.540393590927124,True,5.01,0.25,1.24,0.17
1540279361.8320327,wipers,wipers,4.588774681091309,True,5.01,0.25,1.26,0.18
1540279366.3966258,chicken,chicken,4.560600757598877,True,5.01,0.25,1.25,0.18
1540279370.9705484,wipers,wipers,4.56693959236145,True,5.01,0.25,1.25,0.19
1540279375.5444648,number7,number7,4.56594443321228,True,5.01,0.25,1.24,0.2
1540279381.7341764,turnclap,turnclap,6.181732416152954,True,5.01,0.25,1.25,0.2
1540279386.3032134,sidestep,sidestep,4.558073997497559,True,5.01,0.24,1.23,0.21
1540279392.4107034,chicken,chicken,6.1025004386901855,True,5.01,0.24,1.23,0.22
1540279396.9866543,sidestep,sidestep,4.571955680847168,True,5.02,0.24,1.24,0.22
