timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1540367984.9134915,wipers,wipers,8.01319169998169,True,5.04,0.29,1.44,105.65
1540367989.68959,wipers,wipers,4.76413106918335,True,5.04,0.29,1.45,113.03
1540367994.5550582,turnclap,turnclap,4.858487129211426,True,5.04,0.29,1.44,120.35
1540367999.4682062,chicken,chicken,4.908351421356201,True,5.05,0.28,1.44,127.67
1540368004.445339,chicken,chicken,4.968158483505249,True,5.05,0.28,1.43,134.89
1540368009.3589683,wipers,wipers,4.906978130340576,True,5.04,0.29,1.48,142.17
1540368014.1884665,sidestep,sidestep,4.822506666183472,True,5.04,0.29,1.44,149.63
1540368020.715713,chicken,chicken,6.5052289962768555,True,5.04,0.29,1.44,159.41
1540368025.602976,sidestep,sidestep,4.881407737731934,True,5.04,0.28,1.42,166.59
1540368030.5162401,sidestep,sidestep,4.902295112609863,True,5.04,0.28,1.43,173.84
1540368038.9650233,turnclap,turnclap,8.439983606338501,True,5.04,0.28,1.43,185.94
1540368043.9632313,number7,number7,4.9914655685424805,True,5.04,0.28,1.42,193.3
1540368048.9603746,turnclap,turnclap,4.99152135848999,True,5.04,0.29,1.44,200.69
1540368054.006779,turnclap,turnclap,5.039422988891602,True,5.04,0.28,1.43,208.11
1540368058.92246,number7,number7,4.904681205749512,True,5.04,0.28,1.44,215.49
1540368065.4870155,chicken,chicken,6.552531003952026,True,5.04,0.28,1.43,225.22
1540368070.4292717,number7,number7,4.930824518203735,True,5.05,0.29,1.47,232.51
1540368075.3863168,wipers,wipers,4.9414918422698975,True,5.04,0.29,1.45,239.84
1540368080.4251716,sidestep,sidestep,5.0258893966674805,True,5.04,0.28,1.43,247.12
1540368085.284575,number7,number7,4.847437620162964,True,5.04,0.28,1.43,254.42
1540368090.4605541,sidestep,turnclap,5.163011074066162,False,5.04,0.28,1.43,261.75
