timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1542210298.1717374,swing,mermaid,4.471823453903198,False,5.13,0.38,1.94,116.31
1542210301.8427887,chicken,chicken,3.644299030303955,True,5.13,0.38,1.96,123.45
1542210305.529257,number7,number7,3.6598849296569824,True,5.12,0.38,1.95,130.5
1542210309.0499349,sidestep,sidestep,3.4985311031341553,True,5.13,0.38,1.94,137.68
1542210312.9023519,swing,mermaid,3.831707239151001,False,5.12,0.38,1.92,144.7
1542210316.5889378,swing,mermaid,3.667635440826416,False,5.13,0.37,1.9,151.69
1542210320.1735244,number7,wipers,3.5678470134735107,False,5.12,0.37,1.89,158.65
1542210323.961796,number7,number7,3.7666993141174316,True,5.13,0.37,1.92,165.62
1542210327.5464296,numbersix,numbersix,3.560908079147339,True,5.12,0.37,1.9,172.54
1542210331.9489,swing,swing,4.381927967071533,True,5.12,0.38,1.94,180.47
1542210335.4308765,cowboy,numbersix,3.4615719318389893,False,5.13,0.38,1.94,187.49
1542210339.0343928,sidestep,sidestep,3.5824673175811768,True,5.13,0.38,1.94,194.61
1542210342.803891,number7,salute,3.748461961746216,False,5.12,0.38,1.96,201.7
1542210346.5920117,cowboy,cowboy,3.7677412033081055,True,5.13,0.38,1.94,208.81
1542210350.278982,wipers,wipers,3.6694204807281494,True,5.12,0.38,1.95,215.93
1542210353.8638332,swing,mermaid,3.554607629776001,False,5.13,0.38,1.94,223.05
1542210357.7540927,cowboy,cowboy,3.8691518306732178,True,5.12,0.38,1.94,230.16
1542210361.2354662,chicken,chicken,3.460580825805664,True,5.13,0.38,1.93,237.27
1542210365.133462,chicken,chicken,3.8770556449890137,True,5.12,0.38,1.93,244.4
1542210368.6084783,cowboy,cowboy,3.452078104019165,True,5.13,0.38,1.93,251.5
1542210372.3992617,wipers,wipers,3.76163387298584,True,5.12,0.38,1.93,258.6
1542210377.216294,turnclap,turnclap,4.796121835708618,True,5.12,0.38,1.96,267.74
1542210380.6922479,number7,salute,3.4537460803985596,False,5.12,0.38,1.95,274.93
1542210384.2698998,numbersix,numbersix,3.556706666946411,True,5.13,0.38,1.94,281.95
1542210387.9521408,chicken,chicken,3.6614859104156494,True,5.12,0.38,1.94,289.06
1542210393.3898895,salute,salute,5.416773557662964,True,5.12,0.38,1.96,299.16
1542210397.0768592,cowboy,numbersix,3.6694483757019043,False,5.12,0.38,1.95,306.27
1542210400.6615808,turnclap,turnclap,3.5637893676757812,True,5.13,0.38,1.94,313.43
1542210404.3478162,swing,swing,3.6637115478515625,True,5.12,0.37,1.92,320.59
1542210408.5460308,mermaid,sidestep,4.177275896072388,False,5.13,0.38,1.95,328.72
1542210412.2313116,wipers,wipers,3.6683292388916016,True,5.13,0.38,1.93,335.86
1542210415.9196014,turnclap,turnclap,3.66737699508667,True,5.12,0.38,1.94,342.98
1542210419.5484433,turnclap,turnclap,3.6039092540740967,True,5.13,0.38,1.94,350.1
1542210424.315516,sidestep,sidestep,4.747117519378662,True,5.13,0.38,1.94,359.25
1542210429.0252516,swing,swing,4.692812919616699,True,5.12,0.38,1.94,368.38
1542210432.9166918,cowboy,cowboy,3.8685364723205566,True,5.12,0.38,1.94,375.51
1542210436.3982487,number7,number7,3.4587106704711914,True,5.13,0.38,1.94,382.62
1542210440.0844135,number7,number7,3.669853448867798,True,5.12,0.38,1.95,389.87
1542210445.4111068,swing,swing,5.305795907974243,True,5.12,0.38,1.93,399.99
1542210449.0973907,number7,salute,3.6651270389556885,False,5.13,0.38,1.94,407.12
1542210452.7821207,mermaid,cowboy,3.6637587547302246,False,5.12,0.38,1.93,414.24
1542210456.4687655,mermaid,cowboy,3.6643030643463135,False,5.12,0.37,1.91,421.17
1542210460.3604236,mermaid,cowboy,3.8727097511291504,False,5.12,0.38,1.93,428.25
1542210463.8420858,mermaid,cowboy,3.4635796546936035,False,5.12,0.38,1.92,435.35
1542210468.5620012,chicken,cowboy,4.698041915893555,False,5.13,0.38,1.95,444.48
1542210472.2408893,mermaid,cowboy,3.6600685119628906,False,5.12,0.36,1.82,451.48
1542210475.9252307,mermaid,cowboy,3.6656954288482666,False,5.13,0.38,1.95,458.58
1542210479.6122136,mermaid,cowboy,3.664154052734375,False,5.12,0.38,1.96,465.71
1542210483.2987723,mermaid,cowboy,3.6656126976013184,False,5.12,0.38,1.94,472.83
1542210486.930234,mermaid,cowboy,3.6115598678588867,False,5.12,0.38,1.93,479.94
1542210490.517732,mermaid,cowboy,3.562328815460205,False,5.13,0.38,1.94,487.03
1542210494.3628788,mermaid,cowboy,3.8231959342956543,False,5.13,0.38,1.94,494.15
1542210497.8940399,mermaid,cowboy,3.506603479385376,False,5.13,0.39,2.01,501.3
1542210501.6258657,chicken,cowboy,3.7122182846069336,False,5.13,0.38,1.94,508.43
1542210505.4170327,mermaid,cowboy,3.7697789669036865,False,5.12,0.38,1.94,515.57
1542210623.8541608,wipers,wipers,4.461683511734009,True,5.13,0.38,1.93,181.15
1542210628.0452847,turnclap,turnclap,4.158253908157349,True,5.13,0.39,1.97,189.33
1542210633.807663,number7,salute,5.744388580322266,False,5.13,0.38,1.96,200.56
1542210637.492154,wipers,wipers,3.6665406227111816,True,5.12,0.38,1.97,207.72
