timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1540279771,wipers,wipers,4.977620363,TRUE,5.06,0.25,1.28,90
1540279775,sidestep,sidestep,4.428925276,TRUE,5.09,0.25,1.27,90
1540279783,chicken,chicken,7.610723257,TRUE,5.04,0.25,1.26,100
1540279787,sidestep,sidestep,4.53984046,TRUE,5.04,0.25,1.26,110
1540279792,turnclap,turnclap,4.657978296,TRUE,5.04,0.25,1.26,111.09
1540279796,number7,number7,4.534504652,TRUE,5.04,0.25,1.26,120
1540279801,number7,number7,4.574900389,TRUE,5.04,0.25,1.25,130
1540279806,wipers,wipers,4.594562292,TRUE,5.04,0.25,1.26,130
1540279810,wipers,wipers,4.655597925,TRUE,5.04,0.25,1.28,140
1540279822,chicken,chicken,12.03945875,TRUE,5.04,0.25,1.25,150
1540279827,sidestep,sidestep,4.553603411,TRUE,5.04,0.25,1.26,160
1540279831,wipers,wipers,4.582655907,TRUE,5.04,0.25,1.26,170
1540279838,turnclap,turnclap,6.151905298,TRUE,5.04,0.25,1.25,170
1540279842,chicken,chicken,4.538361549,TRUE,5.04,0.25,1.25,180
1540279848,turnclap,turnclap,6.128792524,TRUE,5.04,0.25,1.25,190
1540279853,number7,number7,4.555156946,TRUE,5.04,0.25,1.27,190
1540279857,chicken,chicken,4.531327963,TRUE,5.04,0.25,1.26,200
1540279862,turnclap,turnclap,4.599034071,TRUE,5.04,0.25,1.26,210
1540279871,sidestep,sidestep,9.200862169,TRUE,5.04,0.25,1.27,220
1540279876,number7,number7,4.557613134,TRUE,5.04,0.25,1.29,220
,,,5.500671232,,,,,
1540280101,chicken,chicken,5.648985624,TRUE,5.06,0.25,1.26,90
1540280106,wipers,wipers,4.583235979,TRUE,5.15,0.25,1.31,90
1540280110,number7,number7,4.527943373,TRUE,5.13,0.25,1.28,100
1540280115,turnclap,turnclap,4.618563652,TRUE,5.16,0.25,1.29,102.81
1540280128,chicken,chicken,13.55961037,TRUE,5.16,0.25,1.3,120
1540280131,number7,number7,3.05106926,TRUE,5.16,0.25,1.29,130
1540280136,wipers,wipers,4.575199127,TRUE,5.08,0.25,1.28,130
1540280141,sidestep,sidestep,4.529681444,TRUE,5.05,0.25,1.27,140
1540280145,wipers,wipers,4.651720762,TRUE,5.09,0.25,1.3,145.47
1540280151,sidestep,sidestep,6.045702457,TRUE,5.08,0.25,1.27,150
1540280156,number7,number7,4.541122198,TRUE,5.08,0.25,1.27,160
1540280160,sidestep,sidestep,4.549402237,TRUE,5.1,0.25,1.27,166.72
1540280163,sidestep,sidestep,3.10252142,TRUE,5.1,0.25,1.28,170
1540280168,turnclap,turnclap,4.544164658,TRUE,5.1,0.25,1.28,177.66
1540280174,number7,number7,6.112190962,TRUE,5.09,0.25,1.27,180
1540280179,turnclap,turnclap,4.604643822,TRUE,5.08,0.25,1.28,190
1540280189,chicken,chicken,10.59563065,TRUE,5.07,0.25,1.28,200
1540280192,chicken,chicken,3.012312651,TRUE,5.07,0.25,1.27,210
1540280197,wipers,wipers,4.584602356,TRUE,5.07,0.25,1.28,210
1540280202,turnclap,turnclap,4.628445625,TRUE,5.06,0.25,1.29,220
,,,5.303337431,,,,,
