timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower,,prediction time,energy consumed,accuracy
1542185983,sidestep,sidestep,10.44725585,TRUE,5.16,0.32,1.63,172.08,,8.663164186,599.15,37
1542185993,cowboy,cowboy,9.570441008,TRUE,5.16,0.32,1.64,189.47,,,,
1542186002,swing,swing,9.574832439,TRUE,5.16,0.32,1.64,206.33,,,,
1542186014,mermaid,mermaid,11.48512912,TRUE,5.16,0.32,1.64,227.5,,,,
1542186021,salute,salute,7.474110603,TRUE,5.16,0.32,1.64,240.27,,,,
1542186033,salute,turnclap,12.18182921,FALSE,4.83,0.32,1.54,262.51,,,,
1542186041,wipers,wipers,7.097914934,TRUE,4.84,0.32,1.55,274.63,,,,
1542186048,cowboy,cowboy,7.285746098,TRUE,4.98,0.32,1.58,287.2,,,,
1542186055,numbersix,numbersix,7.355924368,TRUE,4.98,0.32,1.61,299.68,,,,
1542186065,number7,number7,9.838250399,TRUE,4.95,0.32,1.58,316.19,,,,
1542186072,wipers,wipers,7.140286207,TRUE,5.15,0.32,1.64,329.03,,,,
1542186081,chicken,chicken,9.235653639,TRUE,5.15,0.32,1.64,346.12,,,,
1542186089,swing,swing,7.044085503,TRUE,5.15,0.32,1.65,358.57,,,,
1542186096,chicken,chicken,7.239496469,TRUE,5.15,0.32,1.64,371.05,,,,
1542186105,number7,number7,9.629751682,TRUE,5.09,0.32,1.61,388.5,,,,
1542186115,mermaid,mermaid,9.649053335,TRUE,5.14,0.32,1.63,405.68,,,,
1542186124,wipers,wipers,9.380559683,TRUE,5.14,0.32,1.63,422.62,,,,
1542186132,salute,salute,7.252088785,TRUE,5.13,0.32,1.63,435.37,,,,
1542186139,salute,salute,7.265966892,TRUE,5.13,0.32,1.64,448.78,,,,
1542186149,cowboy,cowboy,9.885196447,TRUE,5.13,0.32,1.65,466.44,,,,
1542186156,cowboy,cowboy,7.294029951,TRUE,5.13,0.32,1.64,479.4,,,,
1542186166,chicken,chicken,9.275102377,TRUE,5.13,0.32,1.64,496.39,,,,
1542186173,salute,number7,7.257080317,FALSE,4.9,0.32,1.57,509.33,,,,
1542186182,swing,swing,9.610866785,TRUE,5.12,0.32,1.64,526.4,,,,
1542186192,wipers,wipers,9.829025984,TRUE,5.11,0.32,1.62,543.55,,,,
1542186201,swing,swing,9.219396114,TRUE,5.1,0.32,1.62,560.51,,,,
1542186209,numbersix,numbersix,7.221644402,TRUE,5.08,0.32,1.61,573.09,,,,
1542186218,turnclap,turnclap,9.700188875,TRUE,5.1,0.32,1.62,590.33,,,,
1542186228,salute,salute,9.830076218,TRUE,5.09,0.32,1.62,608.99,,,,
1542186238,sidestep,sidestep,9.678707123,TRUE,5.09,0.32,1.63,626.6,,,,
1542186245,sidestep,sidestep,7.378364086,TRUE,5.12,0.32,1.63,639.63,,,,
1542186253,salute,number7,7.347222328,FALSE,5.13,0.32,1.64,652.46,,,,
1542186260,turnclap,turnclap,7.19775176,TRUE,4.79,0.32,1.53,664.65,,,,
1542186268,turnclap,turnclap,7.728497028,TRUE,5.11,0.32,1.63,677.92,,,,
1542186277,chicken,chicken,9.683648825,TRUE,5.11,0.32,1.64,695.39,,,,
1542186284,numbersix,numbersix,6.921114206,TRUE,5.11,0.32,1.63,707.88,,,,
1542186294,sidestep,sidestep,9.464750767,TRUE,5.11,0.32,1.62,725.01,,,,
1542186304,numbersix,numbersix,9.731051922,TRUE,5.11,0.32,1.63,742.3,,,,
1542186313,mermaid,mermaid,9.360028028,TRUE,5.11,0.32,1.62,759.09,,,,
1542186320,mermaid,mermaid,6.764447689,TRUE,5.11,0.32,1.62,771.23,,,,
