timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1540372062.4970555,number7,number7,7.246493577957153,True,5.22,0.29,1.49,106.56
1540372067.523239,turnclap,turnclap,5.018203973770142,True,5.25,0.29,1.5,114.31
1540372072.2356777,chicken,chicken,4.706098794937134,True,5.24,0.29,1.5,121.96
1540372077.1557248,sidestep,sidestep,4.909081220626831,True,5.25,0.28,1.49,129.55
1540372081.963197,chicken,chicken,4.796991348266602,True,5.25,0.29,1.5,137.17
1540372086.980917,number7,number7,5.004309415817261,True,5.25,0.29,1.51,144.76
1540372091.9986382,sidestep,sidestep,5.006723165512085,True,5.25,0.28,1.49,152.43
1540372096.606884,chicken,chicken,4.59594202041626,True,5.25,0.29,1.5,160.0
1540372101.5216928,sidestep,sidestep,4.9034082889556885,True,5.25,0.28,1.49,167.57
1540372106.443106,turnclap,turnclap,4.910043001174927,True,5.4,0.28,1.53,175.38
1540372111.3528209,wipers,wipers,4.8984551429748535,True,5.62,0.28,1.6,183.52
1540372116.2673874,chicken,chicken,4.902847766876221,True,5.52,0.28,1.56,191.58
1540372124.4724648,turnclap,turnclap,8.194113731384277,True,5.48,0.28,1.56,204.91
1540372129.3738108,wipers,wipers,4.891373634338379,True,5.49,0.28,1.55,212.89
1540372134.4953592,number7,number7,5.110764980316162,True,5.5,0.29,1.58,220.92
1540372139.4104419,wipers,wipers,4.90399432182312,True,5.7,0.28,1.62,229.03
1540372144.3247344,wipers,wipers,4.904149055480957,True,5.79,0.28,1.65,237.6
1540372149.2395391,turnclap,turnclap,4.903783559799194,True,10.0,0.29,2.89,247.51
1540372154.1550112,number7,number7,4.905207872390747,True,10.0,0.29,2.86,262.42
1540372159.070593,sidestep,sidestep,4.906459808349609,True,10.0,0.29,2.86,277.11
1540372173.6110592,chicken,turnclap,14.530236005783081,False,10.0,0.28,2.85,320.57
1540372180.163877,chicken,turnclap,6.541849851608276,False,10.0,0.28,2.84,339.84
1540372240.1806366,None,turnclap,60.00579285621643,False,0,0,0,0
