timestamp,action,goal,time_delta,correct,voltage,current,power,cumpower
1540282704,number7,number7,6.8322227,TRUE,5.02,0.25,1.24,90
1540282708,turnclap,turnclap,4.540756464,TRUE,5.01,0.25,1.26,90.94
1540282715,wipers,wipers,6.141067266,TRUE,5.01,0.25,1.24,100
1540282725,sidestep,sidestep,10.74499774,TRUE,5.01,0.25,1.23,120
1540282731,sidestep,sidestep,6.139166355,TRUE,5.01,0.25,1.24,120
1540282736,turnclap,turnclap,4.612951517,TRUE,5.01,0.25,1.24,130
1540282741,wipers,wipers,4.596769333,TRUE,5.01,0.25,1.24,140
1540282748,chicken,sidestep,7.677873373,FALSE,5.01,0.24,1.23,150
1540282754,chicken,chicken,6.101681471,TRUE,5.01,0.24,1.23,150
1540282759,wipers,wipers,4.556990147,TRUE,5.01,0.25,1.24,160
1540282764,chicken,chicken,4.576834202,TRUE,5.01,0.24,1.24,168.28
1540282768,wipers,wipers,4.604140759,TRUE,5.01,0.25,1.24,170
1540282773,turnclap,turnclap,4.566026211,TRUE,5.02,0.25,1.24,180
1540282793,chicken,sidestep,19.92176676,FALSE,5.02,0.24,1.22,200
1540282799,turnclap,turnclap,6.164201736,TRUE,5.01,0.24,1.23,210
1540282803,chicken,chicken,4.57510829,TRUE,5.01,0.24,1.23,220
1540282808,number7,number7,4.600795746,TRUE,5.01,0.24,1.22,220
1540282813,chicken,chicken,4.546666145,TRUE,5.02,0.24,1.23,230
1540282817,number7,number7,4.583563089,TRUE,5.01,0.24,1.22,230.78
1540282827,chicken,number7,9.803102255,FALSE,5.01,0.25,1.28,250
